258530;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;134229;;2020-02-25 00:00:00.000;2020-02-26 00:00:00.000
258544;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;141360;;2020-02-21 00:00:00.000;2020-02-22 00:00:00.000
258537;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;145212;;2020-02-21 00:00:00.000;2020-02-22 00:00:00.000
258535;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;153553;;2021-02-18 00:00:00.000;2021-02-19 00:00:00.000
258549;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;157555;;2021-02-16 00:00:00.000;2022-09-01 00:00:00.000
258552;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;159137;;2021-04-28 00:00:00.000;2022-05-13 00:00:00.000
315353;1111;EIDSVÅG LEGEKONTOR DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;165401;;2022-02-22 00:00:00.000;2022-09-01 00:00:00.000
236534;1114;FLÅTEN LEGESENTER DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;118455;;2021-04-05 00:00:00.000;2022-09-19 00:00:00.000
236535;1114;FLÅTEN LEGESENTER DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;157875;;2021-02-24 00:00:00.000;2022-02-14 00:00:00.000
236536;1114;FLÅTEN LEGESENTER DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;160851;;2021-06-22 00:00:00.000;2022-09-19 00:00:00.000
236602;1117;BISKOPSHAVN LEGESENTER DA;2013-01-25 08:34:11.817;9999-12-31 23:59:59.997;154134;;2020-08-25 00:00:00.000;2022-07-26 00:00:00.000
236600;1117;BISKOPSHAVN LEGESENTER DA;2013-01-25 08:34:11.817;9999-12-31 23:59:59.997;156723;;2021-01-14 00:00:00.000;2022-07-26 00:00:00.000
225570;1118;HELSETORGET DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;89791;;2019-06-24 00:00:00.000;2019-06-25 00:00:00.000
225576;1118;HELSETORGET DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;114663;;2019-02-27 00:00:00.000;2019-02-28 00:00:00.000
225575;1118;HELSETORGET DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;118490;;2017-10-16 00:00:00.000;2017-10-17 00:00:00.000
225577;1118;HELSETORGET DA;2004-08-06 02:51:24.000;9999-12-31 23:59:59.997;118491;;2020-09-30 00:00:00.000;2020-10-01 00:00:00.000
